date,county,state,cases,deaths
2020-07-06,San Diego,California,17063,387.0
2020-07-06,San Francisco,California,3995,50.0
2020-07-06,San Joaquin,California,5015,55.0
2020-07-06,San Luis Obispo,California,765,2.0
2020-07-06,San Mateo,California,3599,108.0
2020-07-06,Santa Barbara,California,3671,29.0
2020-07-06,Santa Clara,California,5408,165.0
2020-07-06,Santa Cruz,California,467,3.0
2020-07-06,Shasta,California,157,5.0
2020-07-06,Sierra,California,1,0.0
2020-07-06,Siskiyou,California,32,0.0
2020-07-06,Solano,California,1745,25.0
2020-07-06,Sonoma,California,1466,12.0
2020-07-06,Stanislaus,California,3777,45.0
2020-07-06,Sutter,California,275,3.0
2020-07-06,Tehama,California,95,1.0
2020-07-06,Trinity,California,3,0.0
2020-07-06,Tulare,California,5009,136.0
2020-07-06,Tuolumne,California,53,0.0
2020-07-06,Ventura,California,3866,50.0
2020-07-06,Yolo,California,705,26.0
2020-07-06,Yuba,California,139,2.0
2020-07-07,Alameda,California,6991,140.0
2020-07-07,Alpine,California,1,0.0
2020-07-07,Amador,California,33,0.0
2020-07-07,Butte,California,275,3.0
2020-07-07,Calaveras,California,61,0.0
2020-07-07,Colusa,California,86,0.0
2020-07-07,Contra Costa,California,4092,86.0
2020-07-07,Del Norte,California,58,0.0
2020-07-07,El Dorado,California,264,0.0
2020-07-07,Fresno,California,6924,81.0
2020-07-07,Glenn,California,129,0.0
2020-07-07,Humboldt,California,154,4.0
2020-07-07,Imperial,California,7343,120.0
2020-07-07,Inyo,California,32,1.0
2020-07-07,Kern,California,5553,84.0
2020-07-07,Kings,California,2755,37.0
2020-07-07,Lake,California,98,1.0
2020-07-07,Lassen,California,267,0.0
2020-07-07,Los Angeles,California,120539,3579.0
2020-07-07,Madera,California,784,7.0
2020-07-07,Marin,California,2881,20.0
2020-07-07,Mariposa,California,31,1.0
2020-07-07,Mendocino,California,92,0.0
2020-07-07,Merced,California,1623,11.0
2020-07-07,Mono,California,48,1.0
2020-07-07,Monterey,California,2239,17.0
2020-07-07,Napa,California,455,4.0
2020-07-07,Nevada,California,151,1.0
2020-07-07,Orange,California,20167,366.0
2020-07-07,Placer,California,938,11.0
2020-07-07,Plumas,California,11,0.0
2020-07-07,Riverside,California,22485,506.0
2020-07-07,Sacramento,California,4565,76.0
2020-07-07,San Benito,California,292,2.0
2020-07-07,San Bernardino,California,15932,272.0
2020-07-07,San Diego,California,17641,399.0
2020-07-07,San Francisco,California,4023,50.0
2020-07-07,San Joaquin,California,5600,58.0
2020-07-07,San Luis Obispo,California,808,2.0
2020-07-07,San Mateo,California,3692,111.0
2020-07-07,Santa Barbara,California,3763,30.0
2020-07-07,Santa Clara,California,5478,166.0
2020-07-07,Santa Cruz,California,501,3.0
2020-07-07,Shasta,California,163,5.0
2020-07-07,Sierra,California,1,0.0
