date,county,state,cases,deaths
2021-01-08,Amador,California,2739,26.0
2021-01-08,Butte,California,8359,102.0
2021-01-08,Calaveras,California,1342,22.0
2021-01-08,Colusa,California,1565,9.0
2021-01-08,Contra Costa,California,45874,376.0
2021-01-08,Del Norte,California,807,2.0
2021-01-08,El Dorado,California,6545,33.0
2021-01-08,Fresno,California,72557,711.0
2021-01-08,Glenn,California,1954,16.0
2021-01-08,Humboldt,California,2031,23.0
2021-01-08,Imperial,California,23608,445.0
2021-01-08,Inyo,California,656,27.0
2021-01-08,Kern,California,76673,539.0
2021-01-08,Kings,California,17238,110.0
2021-01-08,Lake,California,2054,25.0
2021-01-08,Lassen,California,4972,11.0
2021-01-08,Los Angeles,California,889787,11863.0
2021-01-08,Madera,California,11645,126.0
2021-01-08,Marin,California,10588,143.0
2021-01-08,Mariposa,California,308,4.0
2021-01-08,Mendocino,California,2846,31.0
2021-01-08,Merced,California,21506,279.0
2021-01-08,Modoc,California,357,3.0
2021-01-08,Mono,California,905,4.0
2021-01-08,Monterey,California,31802,232.0
2021-01-08,Napa,California,6477,35.0
2021-01-08,Nevada,California,2888,50.0
2021-01-08,Orange,California,191804,1998.0
2021-01-08,Placer,California,15454,159.0
2021-01-08,Plumas,California,454,5.0
2021-01-08,Riverside,California,208177,2218.0
2021-01-08,Sacramento,California,72341,977.0
2021-01-08,San Benito,California,4266,36.0
2021-01-08,San Bernardino,California,219691,1486.0
2021-01-08,San Diego,California,185125,1771.0
2021-01-08,San Francisco,California,25888,218.0
2021-01-08,San Joaquin,California,51523,712.0
2021-01-08,San Luis Obispo,California,12891,101.0
2021-01-08,San Mateo,California,27494,255.0
2021-01-08,Santa Barbara,California,19953,185.0
2021-01-08,Santa Clara,California,80466,844.0
2021-01-08,Santa Cruz,California,10228,104.0
2021-01-08,Shasta,California,8917,99.0
2021-01-08,Sierra,California,31,0.0
2021-01-08,Siskiyou,California,1311,12.0
2021-01-08,Solano,California,22237,102.0
2021-01-08,Sonoma,California,21067,218.0
2021-01-08,Stanislaus,California,41520,665.0
2021-01-08,Sutter,California,6921,69.0
2021-01-08,Tehama,California,3330,40.0
2021-01-08,Trinity,California,248,4.0
2021-01-08,Tulare,California,36936,455.0
2021-01-08,Tuolumne,California,3180,33.0
2021-01-08,Ventura,California,49083,334.0
2021-01-08,Yolo,California,9207,127.0
2021-01-08,Yuba,California,4383,25.0
2021-01-09,Alameda,California,59193,732.0
2021-01-09,Alpine,California,70,0.0
2021-01-09,Amador,California,2791,26.0
2021-01-09,Butte,California,8430,111.0
2021-01-09,Calaveras,California,1385,22.0
2021-01-09,Colusa,California,1565,9.0
2021-01-09,Contra Costa,California,46618,389.0
2021-01-09,Del Norte,California,816,2.0
2021-01-09,El Dorado,California,6690,33.0
2021-01-09,Fresno,California,73689,711.0
2021-01-09,Glenn,California,1954,18.0
2021-01-09,Humboldt,California,2031,23.0
2021-01-09,Imperial,California,23751,445.0
2021-01-09,Inyo,California,682,27.0
2021-01-09,Kern,California,77875,542.0
2021-01-09,Kings,California,17711,110.0
2021-01-09,Lake,California,2098,26.0
2021-01-09,Lassen,California,4972,11.0
2021-01-09,Los Angeles,California,906554,12084.0
2021-01-09,Madera,California,11846,126.0
2021-01-09,Marin,California,10696,143.0
2021-01-09,Mariposa,California,318,4.0
2021-01-09,Mendocino,California,2886,31.0
2021-01-09,Merced,California,21506,279.0
2021-01-09,Modoc,California,357,3.0
2021-01-09,Mono,California,951,4.0
2021-01-09,Monterey,California,32394,242.0
2021-01-09,Napa,California,6545,36.0
2021-01-09,Nevada,California,2888,50.0
2021-01-09,Orange,California,196024,2041.0
2021-01-09,Placer,California,15454,159.0
2021-01-09,Plumas,California,465,5.0
2021-01-09,Riverside,California,212122,2218.0
2021-01-09,Sacramento,California,73244,977.0
2021-01-09,San Benito,California,4363,36.0
2021-01-09,San Bernardino,California,224350,1520.0
2021-01-09,San Diego,California,188663,1824.0
2021-01-09,San Francisco,California,26381,233.0
2021-01-09,San Joaquin,California,51523,712.0
2021-01-09,San Luis Obispo,California,13286,101.0
2021-01-09,San Mateo,California,28072,255.0
2021-01-09,Santa Barbara,California,20550,197.0
2021-01-09,Santa Clara,California,82170,884.0
2021-01-09,Santa Cruz,California,10486,104.0
2021-01-09,Shasta,California,8917,99.0
2021-01-09,Sierra,California,31,0.0
2021-01-09,Siskiyou,California,1311,12.0
2021-01-09,Solano,California,22237,102.0
2021-01-09,Sonoma,California,21264,218.0
2021-01-09,Stanislaus,California,42093,675.0
2021-01-09,Sutter,California,7018,70.0
2021-01-09,Tehama,California,3406,40.0
2021-01-09,Trinity,California,248,4.0
2021-01-09,Tulare,California,36946,455.0
2021-01-09,Tuolumne,California,3180,33.0
2021-01-09,Ventura,California,50553,334.0
2021-01-09,Yolo,California,9391,127.0
2021-01-09,Yuba,California,4440,25.0
2021-01-10,Alameda,California,60146,732.0
2021-01-10,Alpine,California,70,0.0
2021-01-10,Amador,California,2808,26.0
2021-01-10,Butte,California,8552,111.0
2021-01-10,Calaveras,California,1425,22.0
2021-01-10,Colusa,California,1565,9.0
2021-01-10,Contra Costa,California,47315,392.0
2021-01-10,Del Norte,California,816,2.0
2021-01-10,El Dorado,California,6800,33.0
2021-01-10,Fresno,California,74816,711.0
2021-01-10,Glenn,California,1954,18.0
2021-01-10,Humboldt,California,2031,23.0
2021-01-10,Imperial,California,24028,445.0
2021-01-10,Inyo,California,734,27.0
2021-01-10,Kern,California,78832,542.0
2021-01-10,Kings,California,17711,110.0
2021-01-10,Lake,California,2144,26.0
2021-01-10,Lassen,California,4972,12.0
2021-01-10,Los Angeles,California,920560,12250.0
2021-01-10,Madera,California,12063,126.0
2021-01-10,Marin,California,10810,143.0
2021-01-10,Mariposa,California,322,4.0
2021-01-10,Mendocino,California,2886,31.0
2021-01-10,Merced,California,21506,279.0
2021-01-10,Modoc,California,357,3.0
2021-01-10,Mono,California,964,4.0
2021-01-10,Monterey,California,32394,242.0
2021-01-10,Napa,California,6595,36.0
2021-01-10,Nevada,California,2932,50.0
2021-01-10,Orange,California,199401,2091.0
2021-01-10,Placer,California,15609,159.0
2021-01-10,Plumas,California,477,5.0
2021-01-10,Riverside,California,216076,2218.0
2021-01-10,Sacramento,California,74481,977.0
2021-01-10,San Benito,California,4403,36.0
2021-01-10,San Bernardino,California,228857,1531.0
2021-01-10,San Diego,California,191951,1857.0
2021-01-10,San Francisco,California,26711,233.0
2021-01-10,San Joaquin,California,51927,712.0
2021-01-10,San Luis Obispo,California,13647,101.0
2021-01-10,San Mateo,California,28512,255.0
2021-01-10,Santa Barbara,California,21323,197.0
2021-01-10,Santa Clara,California,83655,920.0
2021-01-10,Santa Cruz,California,10717,104.0
2021-01-10,Shasta,California,8917,99.0
2021-01-10,Sierra,California,32,0.0
2021-01-10,Siskiyou,California,1311,12.0
2021-01-10,Solano,California,22237,102.0
2021-01-10,Sonoma,California,21393,218.0
2021-01-10,Stanislaus,California,42521,675.0
2021-01-10,Sutter,California,7072,70.0
2021-01-10,Tehama,California,3451,41.0
2021-01-10,Trinity,California,253,4.0
2021-01-10,Tulare,California,37684,455.0
2021-01-10,Tuolumne,California,3180,33.0
2021-01-10,Ventura,California,51988,334.0
2021-01-10,Yolo,California,9524,127.0
2021-01-10,Yuba,California,4440,25.0
2021-01-11,Alameda,California,61132,736.0
2021-01-11,Alpine,California,70,0.0
2021-01-11,Amador,California,2860,26.0
2021-01-11,Butte,California,8677,111.0
2021-01-11,Calaveras,California,1449,22.0
2021-01-11,Colusa,California,1613,9.0
2021-01-11,Contra Costa,California,47940,392.0
2021-01-11,Del Norte,California,823,2.0
2021-01-11,El Dorado,California,6904,33.0
2021-01-11,Fresno,California,75621,711.0
2021-01-11,Glenn,California,2077,18.0
2021-01-11,Humboldt,California,2124,23.0
2021-01-11,Imperial,California,24233,445.0
2021-01-11,Inyo,California,748,27.0
2021-01-11,Kern,California,79728,542.0
2021-01-11,Kings,California,17941,110.0
2021-01-11,Lake,California,2174,26.0
2021-01-11,Lassen,California,5022,12.0
2021-01-11,Los Angeles,California,933083,12387.0
2021-01-11,Madera,California,12270,126.0
2021-01-11,Marin,California,10928,144.0
2021-01-11,Mariposa,California,328,4.0
2021-01-11,Mendocino,California,2914,31.0
2021-01-11,Merced,California,22355,283.0
2021-01-11,Modoc,California,357,3.0
2021-01-11,Mono,California,965,4.0
2021-01-11,Monterey,California,32571,242.0
2021-01-11,Napa,California,6702,36.0
2021-01-11,Nevada,California,2978,70.0
2021-01-11,Orange,California,202787,2120.0
2021-01-11,Placer,California,15978,161.0
2021-01-11,Plumas,California,477,5.0
2021-01-11,Riverside,California,219486,2250.0
2021-01-11,Sacramento,California,75393,1015.0
2021-01-11,San Benito,California,4451,39.0
2021-01-11,San Bernardino,California,232171,1546.0
2021-01-11,San Diego,California,194858,1857.0
2021-01-11,San Francisco,California,27057,234.0
2021-01-11,San Joaquin,California,52535,724.0
2021-01-11,San Luis Obispo,California,13968,111.0
2021-01-11,San Mateo,California,28972,255.0
2021-01-11,Santa Barbara,California,21767,199.0
2021-01-11,Santa Clara,California,84726,945.0
2021-01-11,Santa Cruz,California,10951,106.0
2021-01-11,Shasta,California,8936,99.0
2021-01-11,Sierra,California,32,0.0
2021-01-11,Siskiyou,California,1341,12.0
2021-01-11,Solano,California,23319,102.0
2021-01-11,Sonoma,California,21925,218.0
2021-01-11,Stanislaus,California,42940,686.0
